2026-08-14 09:46:12,201 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=6%F3%9A%B3%A2%C2%A0%C2%B3%C3%9D%17%C3%AB%F1%A7%A2%A1%F2%99%93%B4%C2%A1%C2%BD%F3%A0%A0%A3%15%03%C2%B0-a%C3%91%18y%F2%8A%BE%9C%C2%B8%0A%C2%9B%3F "HTTP/1.1 200 OK"
2026-08-14 09:46:12,201 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=6%F3%9A%B3%A2%C2%A0%C2%B3%C3%9D%17%C3%AB%F1%A7%A2%A1%F2%99%93%B4%C2%A1%C2%BD%F3%A0%A0%A3%15%03%C2%B0-a%C3%91%18y%F2%8A%BE%9C%C2%B8%0A%C2%9B%3F -> 200 (3 ms)
2026-08-14 09:46:12,206 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%9D%C3%ACKs%F2%9D%85%8B%C3%95i%C3%A1%C2%A9o%C2%BB%C2%BB "HTTP/1.1 200 OK"
2026-08-14 09:46:12,206 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%9D%C3%ACKs%F2%9D%85%8B%C3%95i%C3%A1%C2%A9o%C2%BB%C2%BB -> 200 (2 ms)
2026-08-14 09:46:12,211 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%83%C2%89%F3%8F%B1%A5%C2%93%F3%92%95%A5 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,211 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%83%C2%89%F3%8F%B1%A5%C2%93%F3%92%95%A5 -> 200 (2 ms)
2026-08-14 09:46:12,216 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%9F%C2%AC%F3%9A%AB%BF%7F%C2%BF "HTTP/1.1 200 OK"
2026-08-14 09:46:12,216 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%9F%C2%AC%F3%9A%AB%BF%7F%C2%BF -> 200 (3 ms)
2026-08-14 09:46:12,221 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=chromium "HTTP/1.1 200 OK"
2026-08-14 09:46:12,221 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=chromium -> 200 (2 ms)
2026-08-14 09:46:12,225 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%92g%C2%AA%C2%A0%1B%F0%9C%BF%AB9%F0%B8%9D%8C%F3%85%B6%9E%C2%96%C3%B9%C2%87 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,226 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%92g%C2%AA%C2%A0%1B%F0%9C%BF%AB9%F0%B8%9D%8C%F3%85%B6%9E%C2%96%C3%B9%C2%87 -> 200 (2 ms)
2026-08-14 09:46:12,231 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%BE%C2%92z%C2%B0 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,231 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%BE%C2%92z%C2%B0 -> 200 (3 ms)
2026-08-14 09:46:12,235 | INFO    | test | END   tests/services/test_contract_and_properties.py::test_search_never_crashes_and_never_returns_unrelated_items (0.19s)
